2026-02-05T10:57:40.782757, 20 %rH, 37 C, 981 mbar,22,0,
2026-02-05T10:57:41.816480, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:57:43.885223, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:57:44.929135, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:57:48.023701, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:57:49.039113, 21 %rH, 37 C, 981 mbar,22,0,
2026-02-05T10:57:52.076749, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:57:53.091722, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:57:54.133520, 19 %rH, 37 C, 981 mbar,22,0,
2026-02-05T10:57:55.144388, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:57:56.174697, 23 %rH, 37 C, 981 mbar,22,0,
2026-02-05T10:57:57.201427, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:57:59.257709, 22 %rH, 37 C, 981 mbar,22,0,
2026-02-05T10:58:00.276760, 21 %rH, 37 C, 981 mbar,22,0,
2026-02-05T10:58:04.401464, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:58:05.429554, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:58:12.554834, 22 %rH, 37 C, 981 mbar,22,0,
2026-02-05T10:58:13.586915, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:58:23.869083, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:58:24.902057, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:58:25.929340, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:58:26.948311, 21 %rH, 36 C, 981 mbar,24,0,
2026-02-05T10:58:32.040502, 21 %rH, 37 C, 981 mbar,22,0,
2026-02-05T10:58:35.104892, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:58:37.165261, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:58:38.194602, 19 %rH, 36 C, 981 mbar,22,0,
2026-02-05T10:58:39.204697, 21 %rH, 36 C, 981 mbar,24,0,
2026-02-05T10:58:40.237278, 22 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:58:41.249799, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:58:49.426992, 22 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:58:50.453673, 21 %rH, 36 C, 981 mbar,24,0,
2026-02-05T10:58:53.562379, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:58:54.594237, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:58:55.613682, 20 %rH, 36 C, 981 mbar,24,0,
2026-02-05T10:58:56.652375, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:58:57.689384, 21 %rH, 37 C, 981 mbar,22,0,
2026-02-05T10:58:58.709241, 19 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:58:59.749593, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:59:01.828792, 22 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:59:02.856993, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:59:03.888803, 21 %rH, 36 C, 981 mbar,24,0,
2026-02-05T10:59:04.924068, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:59:05.959344, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:59:09.064911, 22 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:59:10.100200, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:59:11.134380, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:59:12.171188, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:59:13.206470, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:59:14.251747, 21 %rH, 37 C, 981 mbar,22,0,
2026-02-05T10:59:17.339780, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:59:18.355375, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:59:19.393628, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:59:27.579534, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:59:29.652709, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:59:31.682675, 23 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:59:32.702512, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:59:34.748704, 21 %rH, 36 C, 981 mbar,22,0,
2026-02-05T10:59:36.808727, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:59:42.874447, 21 %rH, 36 C, 981 mbar,24,0,
2026-02-05T10:59:43.883597, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:59:48.939443, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:59:49.954267, 21 %rH, 37 C, 981 mbar,22,0,
2026-02-05T10:59:52.982858, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T10:59:53.992407, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T10:59:56.020610, 21 %rH, 36 C, 981 mbar,24,0,
2026-02-05T10:59:57.038952, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:00:01.091981, 22 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:00:02.110785, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T11:00:04.141721, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:00:25.444078, 21 %rH, 36 C, 981 mbar,24,0,
2026-02-05T11:00:27.483390, 21 %rH, 37 C, 981 mbar,22,0,
2026-02-05T11:00:28.504872, 21 %rH, 36 C, 981 mbar,24,0,
2026-02-05T11:00:29.523974, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:00:32.584555, 21 %rH, 36 C, 981 mbar,24,0,
2026-02-05T11:00:39.714107, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:00:40.733553, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T11:00:43.791271, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:00:44.812732, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T11:00:46.835274, 21 %rH, 37 C, 981 mbar,22,0,
2026-02-05T11:00:48.854514, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T11:00:49.873252, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:01:53.591921, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:01:55.663050, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:01:57.731027, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:01:58.760391, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:00.832399, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:01.860706, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:03.915531, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:04.944930, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:07.026641, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:08.052525, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:10.119848, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:11.148052, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:17.357675, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:18.387892, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:20.460728, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:21.483630, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:23.552248, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:24.587694, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:26.650430, 18 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:27.684119, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:29.743570, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:30.769362, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:39.025877, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:40.051822, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:42.119232, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:43.157638, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:52.460347, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:53.504317, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:55.559003, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:02:56.578650, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:00.686035, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:01.699559, 21 %rH, 37 C, 981 mbar,22,0,
2026-02-05T11:03:02.712608, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:03.750865, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:13.973288, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:16.031773, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:17.058678, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:18.094841, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:20.139392, 20 %rH, 37 C, 981 mbar,22,0,
2026-02-05T11:03:21.178470, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:23.243102, 18 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:24.272573, 21 %rH, 37 C, 981 mbar,22,0,
2026-02-05T11:03:28.862077, 21 %rH, 37 C, 981 mbar,22,0,
2026-02-05T11:03:30.889864, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:31.909961, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:41.726973, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:42.743599, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:45.808182, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:46.847267, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:49.960875, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:50.381622, 22 %rH, 37 C, 981 mbar,22,0,
2026-02-05T11:03:50.993194, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:51.418626, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:56.155801, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:57.189472, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:57.626298, 22 %rH, 37 C, 981 mbar,22,0,
2026-02-05T11:03:58.659948, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:03:59.254588, 23 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:00.266614, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:00.701121, 20 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:04:01.714597, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:04:03.330861, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:04.367812, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:04.789226, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:05.832234, 21 %rH, 37 C, 981 mbar,22,0,
2026-02-05T11:04:07.473779, 23 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:08.487721, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:04:09.531597, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:10.560635, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:12.046375, 18 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:04:13.082968, 21 %rH, 37 C, 981 mbar,22,0,
2026-02-05T11:04:16.200917, 20 %rH, 37 C, 982 mbar,22,0,
2026-02-05T11:04:16.774090, 22 %rH, 37 C, 982 mbar,503,0,
2026-02-05T11:04:17.211215, 21 %rH, 37 C, 982 mbar,22,0,
2026-02-05T11:04:17.816480, 21 %rH, 37 C, 982 mbar,503,0,
2026-02-05T11:04:18.239630, 20 %rH, 37 C, 982 mbar,22,0,
2026-02-05T11:04:19.250190, 21 %rH, 37 C, 982 mbar,24,0,
2026-02-05T11:04:19.835800, 21 %rH, 37 C, 982 mbar,24,0,
2026-02-05T11:04:21.326010, 23 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:22.369887, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:24.434126, 20 %rH, 37 C, 981 mbar,22,0,
2026-02-05T11:04:25.466638, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:30.135673, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:31.162642, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:04:31.681477, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:32.717497, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:33.234868, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:35.302868, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:35.827116, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:37.370993, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:38.406253, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:47.716693, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:48.760644, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:50.819757, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:51.856418, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:04:58.058050, 22 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:04:59.091751, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:01.156521, 22 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:05:02.192981, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:08.412259, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:09.439164, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:15.638861, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:16.684251, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:18.722344, 20 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:05:19.760751, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:05:21.831696, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:22.853435, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:28.019678, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:29.055582, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:05:40.420100, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:41.465844, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:44.569955, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:45.599324, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:48.709923, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:49.745106, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:54.917166, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:05:55.946506, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:06:05.241197, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:06:06.285355, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:06:15.598165, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:06:16.643566, 22 %rH, 37 C, 981 mbar,22,0,
2026-02-05T11:06:17.670459, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:06:41.494267, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:06:43.574949, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:06:44.600917, 23 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:06:45.628207, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:06:46.664912, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:06:47.710271, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:06:51.840874, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:06:52.876098, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:06:59.077363, 22 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:07:00.118408, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:07:02.178539, 23 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:07:03.216598, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:07:05.285221, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:07:06.320371, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:07:12.544906, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:07:13.573057, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:07:16.677283, 23 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:07:17.714152, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:07:22.872805, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:07:23.899562, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:07:38.355279, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:07:39.400708, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:07:41.448547, 20 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:07:42.485183, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:07:45.599470, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:07:46.626335, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:07:48.689799, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:07:49.735220, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:08:11.418855, 22 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:08:12.452303, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:08:18.662260, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:08:19.697748, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:08:20.733036, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:08:21.745769, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:08:22.783874, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:08:24.848341, 19 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:08:25.895300, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:08:38.294032, 20 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:08:39.319959, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:08:41.387110, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:08:42.423036, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:08:45.530431, 23 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:08:46.565642, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:08:51.737647, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:08:52.783011, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:08:54.830565, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:08:55.867163, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:09:01.025308, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:09:02.054247, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:09:32.046187, 22 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:09:33.074262, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:09:35.141628, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:09:36.188251, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:09:38.239915, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:09:39.276602, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:09:43.396013, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:09:44.439956, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:09:45.466732, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:09:48.579314, 23 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:09:49.605215, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:09:51.672269, 23 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:09:52.717646, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:09:54.775025, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:09:55.810183, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:08.211562, 20 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:10:09.248213, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:15.449474, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:16.484633, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:18.550553, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:19.594382, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:21.652973, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:22.688163, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:25.793947, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:26.829037, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:28.894456, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:29.929699, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:42.328938, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:43.364137, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:10:45.432209, 23 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:46.464164, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:49.569697, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:50.604914, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:52.683876, 23 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:53.710753, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:10:59.914604, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:00.951466, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:06.119967, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:07.155187, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:10.257200, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:11.283178, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:13.365128, 22 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:11:14.388873, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:23.699058, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:25.779430, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:11:32.990599, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:34.023203, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:39.175044, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:40.210263, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:42.283562, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T11:11:43.320313, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:11:46.422310, 19 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:47.445865, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:49.513096, 18 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:50.542556, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:52.623216, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:53.649997, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:55.717301, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:56.761242, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:11:59.855313, 23 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:00.899324, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:09.159044, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:10.193814, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:21.571598, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T11:12:22.606812, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:23.642026, 21 %rH, 36 C, 981 mbar,23,0,
2026-02-05T11:12:25.721054, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:26.747879, 23 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:27.779792, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:28.815026, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:29.860250, 21 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:12:33.981834, 22 %rH, 37 C, 981 mbar,24,0,
2026-02-05T11:12:35.015565, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:37.080604, 22 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:38.119495, 21 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:40.191244, 20 %rH, 37 C, 981 mbar,23,0,
2026-02-05T11:12:41.220686, 21 %rH, 37 C, 981 mbar,23,0,
